Weight60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;17:44:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;1066.948853;807.027832;435.307526;754.360413;657.481689;108.992668;864.286316;707.850708;118.007675;820.844421;615.314880;102.797661;1047.685669;824.650391;250.604126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1066.639526;807.172119;435.195740;754.388611;657.381409;109.187927;864.311157;707.715271;118.154999;820.701843;615.047363;102.905792;1047.640137;824.948425;250.549118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1066.473877;807.370972;435.159607;754.384827;657.381348;109.204453;864.328491;707.670349;118.305458;820.511536;614.941467;103.004745;1047.685303;825.238770;250.566315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1066.275635;807.539307;435.223053;753.989685;657.161621;109.571297;864.232422;707.498596;118.585014;820.272278;615.117554;103.064766;1047.707397;825.618164;250.630310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1066.005249;807.663879;435.237335;754.000183;657.152039;109.511749;864.073303;707.373535;118.963371;820.187378;615.032104;103.054016;1047.645630;826.010559;250.807480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1065.718384;807.892151;435.269348;754.013550;657.149353;109.379387;863.933655;707.217285;119.343773;819.929993;614.821167;103.356766;1047.633423;826.488037;250.906097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1065.488281;808.020020;435.330048;753.893677;657.318970;109.157707;863.757690;707.036438;119.876305;819.602112;614.597290;103.657478;1047.513794;827.001953;251.003983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1065.178345;808.215942;435.407013;753.660278;657.280151;109.161072;863.046692;706.929077;121.681519;819.265381;614.581726;104.038437;1047.343140;827.437561;251.378036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1064.791016;808.406677;435.438263;753.221313;657.249207;109.481529;862.282471;706.936584;123.077789;818.807617;614.545410;104.457054;1047.253540;827.772156;251.550217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1064.464600;808.679077;435.547882;752.442383;657.284607;109.973007;861.766296;706.801636;123.838005;818.043274;614.515686;105.500290;1047.287842;828.136108;251.578079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1064.101318;808.886047;435.391388;752.005920;657.357910;110.189293;861.322266;706.792236;124.241783;817.477539;614.202698;105.844566;1047.021240;828.488770;251.881226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1063.674316;809.032471;435.265350;751.560242;657.528870;110.179062;861.085876;706.752014;124.466125;816.811462;614.084045;106.374977;1046.758545;828.829346;252.126831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1063.342529;809.167908;435.242462;750.853638;657.661560;110.668633;861.061462;706.846985;124.401199;815.924255;614.295410;107.577316;1046.637085;829.158325;252.379745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1063.031006;809.239868;435.213806;749.848083;657.732422;111.328453;860.126648;707.116516;125.451149;815.277466;614.622681;108.672874;1046.450073;829.462402;252.614655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1062.556152;809.356689;435.282501;748.926331;657.971191;111.626602;859.158508;707.564514;127.114471;814.563232;614.841248;109.798599;1046.333374;829.793823;253.058167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1062.033936;809.375244;435.559082;748.400513;658.476196;112.002892;857.749084;707.794434;129.313431;813.360168;615.150940;111.352547;1045.943115;830.206909;253.147018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1061.243896;809.519104;435.432953;747.509583;658.933167;112.857468;856.458496;708.000183;130.465317;811.690125;615.965820;113.499069;1045.500977;830.666016;253.336334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1060.496216;809.568054;435.359375;746.259399;659.330200;114.411644;855.396606;708.473206;131.071655;811.139404;616.030823;115.251175;1044.876099;831.050720;253.779114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1059.554565;809.692139;435.344757;744.980835;659.760437;116.011452;854.782715;709.054626;131.587616;810.119263;616.296204;117.098587;1044.525635;831.316101;253.912247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1058.498291;809.838806;435.065002;743.927551;659.801392;117.847725;853.747559;709.786621;133.237106;809.005127;616.838440;119.270599;1044.279907;831.522095;253.932068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1057.669922;809.944214;435.082153;742.450806;660.485474;119.407417;852.302246;710.155029;134.125824;807.625977;617.268127;121.775337;1043.513306;831.855896;254.689667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1057.557495;809.919312;435.148834;740.724731;660.991516;121.366653;850.937622;710.685852;135.468903;806.045837;617.774658;124.696098;1042.728271;832.196655;255.017273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1056.647217;810.071045;435.323212;739.349487;661.084045;123.883652;;;;804.549622;618.269958;126.977547;1042.034668;832.508484;255.205734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1055.448242;810.322632;435.361420;737.483459;661.808838;126.333794;;;;802.579895;618.824890;130.033966;1041.230225;832.832336;255.481857;847.530701;711.909973;139.116638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1054.150757;810.505127;435.443237;735.806641;662.230103;128.252182;;;;800.513916;619.167175;132.375015;1040.150024;833.342529;256.136536;845.310730;712.539795;141.147202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;1052.958496;810.679504;435.326569;733.243591;662.665771;131.853851;;;;798.583618;619.711060;135.312134;1038.803833;833.878540;256.360077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1051.965210;810.866577;435.181335;731.274292;663.184631;133.824448;;;;796.111145;619.975647;138.006149;1037.290039;834.378418;256.468048;;;;841.397827;713.777466;144.802185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1051.329102;810.953064;435.318726;728.568115;663.636597;136.701523;;;;793.942078;620.769531;141.006760;1035.915039;834.877991;257.009735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1049.695190;811.262573;435.574127;726.247131;664.033997;138.914383;;;;791.510132;621.207275;143.552902;1034.542847;835.358948;257.495575;;;;;;;836.733093;714.291138;148.487259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1048.180786;811.570251;435.429077;723.373840;664.094727;141.994720;;;;788.811523;621.781738;146.532944;1033.015015;835.762634;257.996887;;;;;;;833.233582;715.065002;150.892731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1047.003784;811.758484;434.832489;720.444153;664.500305;144.939835;;;;785.941833;622.022522;149.326508;1030.699951;836.399231;258.182007;;;;;;;830.636047;715.678772;152.392120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1045.681519;812.023865;435.137115;717.535706;664.613098;146.975128;;;;782.950195;622.498047;152.240189;1028.754517;836.818176;258.530304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;1043.811279;812.280701;435.305756;714.025269;664.663574;150.282257;;;;779.788635;622.894348;154.950516;1026.559692;837.367676;259.184021;;;;;;;;;;823.999207;716.458374;157.795731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;1042.203857;812.405457;434.938232;710.188721;664.873657;152.822235;;;;776.594482;623.220947;157.407547;1024.232544;837.721558;259.550598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;1040.371704;812.755859;435.067535;706.973999;665.165466;155.265915;;;;773.086243;623.569885;160.161972;1021.738525;838.320190;259.891846;;;;;;;;;;;;;816.927673;717.625854;161.272476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;1038.267700;812.988586;435.164093;703.454895;665.328125;158.212143;;;;769.273010;623.792603;162.649414;1018.973572;838.826050;260.552826;;;;;;;;;;;;;813.479309;717.876343;163.295151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1036.370483;813.133301;434.807037;699.166870;665.311401;161.098892;;;;765.791260;624.269043;165.333282;1016.023865;839.427429;260.719513;;;;;;;;;;;;;809.189270;718.641541;166.222321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;1034.111816;813.619202;435.112213;695.210754;665.343018;164.133255;;;;761.910889;624.538818;167.510910;1012.812317;840.085693;261.191772;;;;;;;;;;;;;804.763489;719.057556;168.811646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;1031.637573;813.756165;434.652130;690.952698;665.614075;166.523392;;;;757.645142;624.833130;170.023651;1009.692200;840.756348;261.096924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;1029.056885;814.149719;434.661285;686.561890;665.900818;168.538483;;;;753.336853;624.974060;172.306183;1006.058533;841.491821;261.722656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;1026.624023;814.380981;434.415558;682.151245;666.020020;171.371246;;;;749.040344;625.388977;174.571594;1002.196777;842.280334;261.939240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1024.022583;814.671021;434.508484;677.438843;666.318298;174.211792;;;;744.608948;625.801575;176.838654;998.381714;842.837097;262.428528;;;;;;;;;;;;;;;;786.854248;721.050842;176.781525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1020.948120;814.889160;434.268341;672.903564;666.479553;176.197159;;;;740.249634;626.033569;178.495865;994.718506;843.297668;262.712128;;;;;;;;;;;;;;;;782.034119;721.374512;178.608429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1018.359985;815.143005;434.171722;668.298340;666.766968;178.447906;;;;735.253052;626.321289;180.199265;990.551697;843.489807;262.816284;;;;;;;;;;;;;;;;777.519592;721.469543;180.726913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1015.005005;815.533936;433.661987;663.293213;666.955017;180.816345;;;;730.335144;626.718445;182.442337;985.875916;844.061523;263.245972;;;;;;;;;;;;;;;;772.184082;721.831177;182.985596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1012.257263;815.813049;433.682098;658.096008;667.176208;183.003723;;;;725.448364;627.028015;184.319885;981.513977;844.771790;263.263000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1008.640442;816.116333;433.438171;652.801270;667.450134;185.313553;;;;719.940613;627.279968;185.908752;977.366089;845.441589;263.537415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;1005.396545;816.472473;433.661896;647.447449;667.750610;187.410736;;;;714.345703;627.496704;187.816757;973.324829;845.836182;263.313751;;;;;;;;;;;;;;;;;;;756.279114;722.726379;188.817368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1002.705383;816.572388;433.489471;642.181335;668.058899;188.722458;;;;709.202026;627.756165;189.153778;968.537476;846.283325;263.458038;;;;;;;;;;;;;;;;;;;750.947998;722.938538;190.218491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;998.784973;816.951355;433.163544;636.785706;668.591187;190.670822;;;;704.087341;628.090637;190.216797;963.372070;846.861816;263.551819;;;;;;;;;;;;;;;;;;;745.759399;723.240662;191.127640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;995.535706;817.191345;433.021515;631.251648;668.727539;192.919571;;;;698.358704;628.518433;191.891785;957.735474;847.472961;264.084717;;;;;;;;;;;;;;;;;;;740.563110;723.401306;191.959229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;992.492676;817.404297;432.831329;625.385925;668.908081;194.780716;;;;692.597290;628.835815;193.186157;952.925842;847.782166;264.146423;;;;;;;;;;;;;;;;;;;734.909729;723.950012;193.511246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;988.338074;817.729675;432.806793;619.495300;669.440186;196.599472;;;;687.001282;629.187378;194.006989;947.926025;848.056580;264.448853;;;;;;;;;;;;;;;;;;;729.436768;724.157837;194.674332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;984.914673;817.920471;432.937866;613.701111;669.958069;197.619507;;;;681.340027;629.382263;194.816650;942.564636;848.284241;264.828705;;;;;;;;;;;;;;;;;;;724.071167;724.364136;195.055893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;981.556824;818.106750;432.753113;608.434692;670.533020;198.077499;;;;675.431458;629.678345;195.737137;937.362976;848.095215;264.436432;;;;;;;;;;;;;;;;;;;718.556274;724.399292;195.680679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;977.552856;818.233093;432.544281;602.948120;670.970703;198.912338;;;;669.261169;629.989319;196.979156;;;;;;;;;;;;;;;;;;;;;;712.428528;724.571411;196.754807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;974.362549;818.322937;432.548950;596.881836;671.461975;200.435135;;;;663.304260;630.290955;197.635056;;;;;;;;;;;;;;;;;;;;;;706.452332;724.775391;197.905228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;970.700562;818.393555;432.409882;590.807983;671.718872;201.505814;;;;657.613831;630.487610;197.825790;;;;;;;;;;;;;;;;;;;;;;700.451233;724.979492;199.220413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;966.779724;818.362671;432.546509;585.178040;671.943176;202.131271;;;;651.773865;630.539856;197.923264;;;;;;;;;;;;;;;;;;;;;;695.197510;725.152466;199.703430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;963.345581;818.262146;432.427094;579.443054;672.344666;202.458069;;;;645.682373;630.723755;198.181519;;;;;;;;;;;;;;;;;;;;;;;;;909.122986;848.826721;266.254761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;959.625183;818.369568;432.323212;573.710693;673.005066;202.440338;;;;639.716248;631.004517;198.338699;;;;;;;;;;;;;;;;;;;;;;;;;903.543579;848.948853;266.602539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;955.899109;818.527954;432.074829;568.167236;673.375671;202.701691;;;;634.053528;631.267334;198.152740;;;;;;;;;;;;;;;;;;;;;;;;;898.056763;848.647461;266.940216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;952.581238;818.337219;431.744812;562.425354;673.662659;202.824860;;;;628.217834;631.575439;197.805145;;;;;;;;;;;;;;;;;;;;;;;;;;;;671.471130;725.643982;201.388016;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;948.347046;818.312622;432.266754;556.596619;673.974182;202.717010;;;;622.244751;631.875183;197.490128;;;;;;;;;;;;;;;;;;;;;;;;;;;;666.519348;725.835938;200.158829;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;944.575745;817.961853;432.184814;550.739319;674.248962;203.141479;;;;616.603333;632.080505;196.998093;;;;;;;;;;;;;;;;;;;;;;;;;;;;661.201538;725.733704;199.824448;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;941.105042;817.745972;431.688141;544.804382;674.522827;203.284821;;;;610.687073;632.362000;196.402679;;;;;;;;;;;;;;;;;;;;;;;;;;;;655.510742;725.757324;200.059158;876.602173;847.625793;267.492767;;;;;;;;;;;;;;;;;;;;;;;;
67;937.327393;817.464050;431.696716;539.197388;674.854431;202.810867;;;;604.887817;632.649902;195.776016;;;;;;;;;;;;;;;;;;;;;;;;;;;;649.881409;725.906921;199.502396;871.151001;846.941711;267.862244;;;;;;;;;;;;;;;;;;;;;;;;
68;933.338501;817.115356;431.669525;533.875854;675.296204;201.861526;;;;599.166016;632.777527;195.011932;;;;;;;;;;;;;;;;;;;;;;;;;;;;644.547485;725.873230;199.088547;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;929.328613;816.811768;431.489990;528.307556;675.914734;201.083191;;;;593.382874;633.042847;194.173676;;;;;;;;;;;;;;;;;;;;;;;;;;;;639.596802;725.957947;198.187271;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;925.752197;816.449341;431.820313;522.916748;676.218933;200.166046;;;;587.850952;633.199707;193.140091;;;;;;;;;;;;;;;;;;;;;;;;;;;;634.410339;726.070618;197.232300;;;;854.860596;846.127930;268.411011;;;;;;;;;;;;;;;;;;;;;
71;922.239136;815.949707;431.725037;517.447876;676.735901;199.207077;;;;582.434998;633.458679;192.011902;;;;;;;;;;;;;;;;;;;;;;;;;;;;629.145020;726.070129;196.549271;;;;850.176697;845.240784;268.197845;;;;;;;;;;;;;;;;;;;;;
72;918.472473;815.435608;431.141693;512.333557;677.246887;198.257324;;;;576.970154;633.698059;190.658264;;;;;;;;;;;;;;;;;;;;;;;;;;;;623.886902;726.457153;196.135056;;;;845.285950;843.978760;268.310974;;;;;;;;;;;;;;;;;;;;;
73;914.373779;815.146362;431.377167;507.009430;677.831909;196.976715;;;;571.502930;634.026672;189.545639;;;;;;;;;;;;;;;;;;;;;;;;;;;;618.210632;726.485107;195.622101;;;;840.268860;843.982666;268.962677;;;;;;;;;;;;;;;;;;;;;
74;910.997375;814.478699;431.214569;501.940186;678.478455;195.679916;;;;566.194336;634.314087;188.232208;;;;;;;;;;;;;;;;;;;;;;;;;;;;613.167175;726.781616;194.372086;;;;835.125610;843.632996;269.018097;;;;;;;;;;;;;;;;;;;;;
75;906.796509;813.959778;431.373688;496.689789;679.100525;194.312881;;;;560.966492;634.843628;187.017120;;;;;;;;;;;;;;;;;;;;;;;;;;;;608.466858;726.677368;193.257217;;;;830.112122;842.905701;268.837402;;;;;;;;;;;;;;;;;;;;;
76;903.338501;813.224365;431.192108;491.974060;679.671326;192.817291;;;;555.941650;635.082397;185.301147;;;;;;;;;;;;;;;;;;;;;;;;;;;;604.212524;726.781921;191.385757;;;;825.299561;842.003113;269.010986;;;;;;;;;;;;;;;;;;;;;
77;899.699707;812.554626;431.223053;487.017242;680.349487;191.262817;;;;550.796448;635.588440;183.984238;;;;;;;;;;;;;;;;;;;;;;;;;;;;599.482239;726.883240;190.230881;;;;820.669739;841.443481;269.090515;;;;;;;;;;;;;;;;;;;;;
78;895.705383;812.010986;431.359222;481.898285;680.948181;190.030014;;;;545.851257;635.950012;182.392532;;;;;;;;;;;;;;;;;;;;;;;;;;;;594.615417;727.200684;189.222687;;;;816.480774;840.817017;268.841980;;;;;;;;;;;;;;;;;;;;;
79;892.459473;811.201172;430.857758;477.343597;681.539368;188.765793;;;;541.147827;636.244751;180.963608;;;;;;;;;;;;;;;;;;;;;;;;;;;;589.739807;727.446350;188.988724;;;;811.882019;839.815613;269.132019;;;;;;;;;;;;;;;;;;;;;
80;888.577515;810.569031;431.284241;472.926544;682.307800;186.347763;;;;536.593079;636.931702;179.315475;;;;;;;;;;;;;;;;;;;;;;;;;;;;585.804199;727.458679;186.867401;;;;807.570129;839.149475;269.309784;;;;;;;;;;;;;;;;;;;;;
81;884.910461;809.991333;431.128052;468.688019;683.112610;184.148712;;;;532.028992;637.435486;177.602341;;;;;;;;;;;;;;;;;;;;;;;;;;;;581.781738;727.355164;185.521484;;;;803.404907;838.675293;269.041260;;;;;;;;;;;;;;;;;;;;;
82;881.647827;809.266846;430.680634;464.543091;683.704773;181.877304;;;;527.499084;637.786255;176.156219;;;;;;;;;;;;;;;;;;;;;;;;;;;;577.444153;727.762268;184.080017;;;;799.342224;837.759583;268.790436;;;;;;;;;;;;;;;;;;;;;
